,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,cost of living index,house_age
152,5.0,2.25,2440,20828,1.5,0,1,4,2440,0,1.0,45
1894,3.0,1.75,1230,7500,1.0,0,1,3,1230,0,0.9987,20
3150,3.0,1.5,1420,4500,1.0,0,1,3,1420,0,1.0,31
3822,5.0,2.0,1750,10284,1.0,0,1,4,1750,0,1.0006,77
1410,2.0,2.0,1180,9265,1.0,0,1,3,1180,0,1.0,24
374,4.0,2.75,2630,7505,2.0,0,1,3,2630,0,0.9974,26
721,3.0,2.5,1780,4050,2.0,0,1,3,1780,0,1.0,19
2861,2.0,2.5,2210,6327,1.0,0,1,3,2210,0,0.9987,17
225,3.0,1.5,1620,9310,1.0,0,1,4,1620,0,1.0,53
3104,4.0,2.5,2350,3150,1.5,0,1,4,1690,660,1.0,110
404,3.0,2.25,2080,12134,1.0,0,1,4,1530,550,0.9974,47
3604,4.0,3.5,3480,7232,2.0,0,1,3,2580,900,1.0,10
3677,3.0,1.75,2880,18296,1.0,0,1,3,1580,1300,1.0026,16
1602,3.0,1.75,1610,8613,1.0,0,1,5,1610,0,0.9981,58
2137,3.0,1.0,1870,2807,1.5,0,1,4,1580,290,1.0,93
785,5.0,3.25,3690,12353,2.0,0,1,5,3690,0,1.0,43
2705,3.0,2.5,2460,4399,2.0,0,1,3,2460,0,0.9981,13
222,4.0,2.5,2340,11784,2.0,0,1,3,2340,0,1.0,23
2213,5.0,2.25,2570,13054,1.0,0,2,3,1470,1100,1.0006,28
1748,3.0,2.5,1680,2096,2.0,0,1,3,1380,300,1.0,12
1872,3.0,2.5,2540,6093,2.0,0,1,3,2540,0,0.9987,21
3213,4.0,2.5,2610,5140,2.0,0,1,3,2610,0,1.0,14
1196,3.0,1.5,1340,10224,1.0,0,1,4,1340,0,0.9981,64
3304,3.0,2.25,2760,40946,2.0,0,1,5,2760,0,0.9981,42
4347,3.0,1.0,1030,9120,1.0,0,1,3,1030,0,1.0013,16
405,4.0,3.5,2500,3080,2.0,0,1,3,1810,690,0.9974,12
3460,5.0,5.0,4490,10279,2.0,0,1,3,3930,560,0.9981,97
2272,3.0,3.25,2310,3075,2.0,0,1,3,1730,580,1.0,15
2701,3.0,2.5,1800,3168,2.0,0,1,3,1800,0,0.9981,6
1877,3.0,2.0,1650,9641,1.5,0,1,3,1650,0,0.9987,11
2259,3.0,1.75,2040,6000,1.0,0,1,5,1120,920,1.0,62
1522,3.0,2.0,1980,2674,3.0,0,1,3,1980,0,1.0,13
3720,2.0,1.0,1050,6600,1.5,0,1,3,1050,0,1.0026,20
1993,4.0,2.25,3310,127631,2.0,0,1,5,3310,0,0.9981,64
1902,4.0,2.25,2010,7575,1.0,0,1,3,1220,790,0.9987,46
4090,4.0,4.25,5010,19412,2.0,0,2,3,4000,1010,0.9994,6
1570,4.0,2.5,2680,7200,1.0,0,1,3,1380,1300,0.9981,7
1171,3.0,2.0,1440,9220,1.0,0,1,3,1440,0,1.0006,27
331,4.0,3.0,2170,8240,1.0,0,1,4,1370,800,0.9974,52
1350,3.0,1.75,1890,9920,1.0,0,1,3,1230,660,1.0,76
4538,3.0,1.75,1770,8868,1.0,0,1,4,1770,0,1.0013,61
3227,2.0,1.75,1990,4000,1.0,0,1,5,1090,900,1.0,22
4334,2.0,1.0,1090,5000,1.0,0,1,4,730,360,1.0,38
2947,4.0,2.5,2870,9292,2.0,0,1,3,2540,330,1.0,6
2704,1.0,0.75,820,59677,1.0,0,1,3,820,0,0.9981,21
1377,2.0,1.0,1250,8100,1.0,0,1,4,1250,0,1.0,32
4198,2.0,1.75,1560,1750,1.0,0,1,4,780,780,1.0,116
2829,2.0,1.0,1640,17335,1.0,0,1,3,840,800,0.9987,42
2734,3.0,3.5,3690,8837,2.0,0,1,3,3690,0,0.9981,19
1778,3.0,1.0,1430,3840,1.0,0,1,3,950,480,1.0,10
4117,3.0,2.5,2680,327135,2.0,0,1,3,2680,0,0.9994,25
1229,4.0,2.5,3320,11901,2.0,0,1,5,2650,670,0.9981,43
3627,2.0,1.5,940,1768,2.0,0,1,3,940,0,1.0,11
1221,4.0,2.25,2210,7665,2.0,0,1,4,2210,0,0.9981,52
465,2.0,1.5,840,867,2.0,0,1,3,840,0,1.0,15
2135,2.0,1.5,1630,3780,1.0,0,1,4,890,740,1.0,19
3936,3.0,1.0,1050,9876,1.0,0,1,3,1050,0,0.9994,67
