,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,cost of living index,house_age,price
2932,3.0,2.0,1400,7384,1.0,0,1,3,1150,250,1.0,6,225000.0
750,3.0,2.0,1430,6000,1.0,0,1,5,1430,0,1.0,75,352450.0
4302,4.0,2.5,1850,5040,1.0,0,1,3,1230,620,1.0,7,449000.0
1394,3.0,1.5,1650,9957,1.0,0,1,4,1100,550,1.0,19,369500.0
1086,3.0,2.5,1970,7500,2.0,0,1,3,1970,0,1.0006,20,299995.0
4390,4.0,1.75,1760,6204,1.0,0,3,4,1180,580,1.0019,37,343500.0
362,4.0,2.5,3010,6100,2.0,0,1,3,3010,0,0.9974,15,789500.0
1843,4.0,2.5,2110,3750,2.0,0,1,3,2110,0,1.0,20,577437.5
200,3.0,1.5,1860,60960,1.0,0,1,4,1140,720,1.0,53,291000.0
1456,3.0,1.0,1010,7245,1.0,0,1,3,1010,0,1.0013,10,199950.0
1146,2.0,1.5,1220,3568,1.5,0,1,4,1220,0,1.0006,28,168000.0
4317,2.0,1.0,970,5750,1.0,0,1,4,970,0,1.0,62,345000.0
1535,3.0,1.75,2150,4333,1.0,0,1,3,1200,950,1.0,19,440825.0
2696,5.0,2.5,3200,6455,2.0,0,1,3,3200,0,0.9981,11,675000.0
2982,4.0,1.75,2110,7208,1.0,0,1,3,1170,940,1.0,45,324000.0
2147,4.0,3.0,3520,4895,1.0,0,1,3,1980,1540,1.0,15,800000.0
1117,4.0,2.25,2340,217014,1.0,0,1,4,2340,0,1.0006,9,404950.0
4225,3.0,1.0,860,11900,1.0,0,1,4,860,0,1.0006,57,160000.0
181,3.0,1.75,1340,16480,1.0,0,1,4,1340,0,1.0,52,239000.0
279,3.0,2.5,2200,11000,2.0,0,3,3,2200,0,0.9981,42,580000.0
4231,4.0,2.5,2280,7200,2.0,0,1,3,2280,0,1.0006,26,322000.0
2052,4.0,2.75,2330,7642,1.0,0,1,3,1800,530,1.0013,11,257000.0
89,2.0,1.0,800,6500,1.0,0,1,4,800,0,1.0,37,295000.0
3059,3.0,3.25,1530,1565,2.0,0,1,3,1280,250,1.0,15,654000.0
2659,4.0,2.5,2740,12899,2.0,0,1,4,2740,0,0.9981,30,673476.818182
4277,2.0,1.5,880,1157,2.0,0,1,3,880,0,1.0,13,210000.0
192,4.0,2.25,2630,39000,2.0,0,1,3,2630,0,1.0,6,454000.0
3161,3.0,2.5,1430,1002,3.0,0,1,3,1430,0,1.0,18,349000.0
2296,4.0,1.75,2085,174240,1.0,0,1,3,1610,475,0.9987,20,563500.0
3347,3.0,3.5,2380,6250,2.0,0,4,3,1670,710,1.0,23,495000.0
4098,4.0,3.0,4260,18000,2.0,0,3,3,4260,0,0.9994,20,435000.0
2491,4.0,1.75,2020,7865,1.0,0,1,4,1010,1010,1.0,57,302000.0
4282,2.0,1.0,1880,7560,1.0,0,1,3,940,940,1.0,19,280000.0
810,4.0,2.75,1550,4000,1.5,0,1,3,1550,0,1.0,23,835000.0
2698,4.0,2.5,2500,4945,2.0,0,1,3,2500,0,0.9981,97,575000.0
2232,3.0,2.75,1250,892,2.0,0,1,3,1040,210,1.0,10,450000.0
2656,3.0,2.75,3010,1842,2.0,0,1,3,3010,0,0.9981,9,237333.333333
694,3.0,1.0,1150,6000,1.5,0,1,3,1150,0,0.9987,9,307000.0
4301,3.0,1.75,1510,4800,1.0,0,3,3,860,650,1.0,9,465000.0
4072,3.0,2.75,2470,10125,2.0,0,1,3,2470,0,0.9994,8,970500.0
1913,3.0,2.0,1670,7700,1.0,0,1,3,1170,500,0.9987,18,424000.0
3421,3.0,1.5,1840,9990,2.0,0,1,5,1840,0,0.9994,59,686000.0
3385,1.0,1.0,720,4800,1.0,0,1,3,720,0,1.0,24,190000.0
395,3.0,2.5,2440,4153,2.0,0,1,3,2440,0,0.9974,17,710000.0
1920,3.0,2.75,1910,7280,1.0,0,1,3,1160,750,0.9987,6,441000.0
1182,4.0,1.0,1450,8800,1.0,0,1,4,1450,0,0.9981,41,435000.0
2104,2.0,1.0,810,8424,1.0,0,1,4,810,0,1.0013,61,0.0
2677,4.0,1.5,1220,9600,1.0,0,1,3,1220,0,0.9987,40,310000.0
3948,5.0,2.0,2330,10750,1.0,0,1,4,1190,1140,0.9994,58,389000.0
3867,2.0,1.0,720,4222,1.0,0,1,4,720,0,1.0006,38,127160.0
1982,3.0,2.5,2830,6536,2.0,0,1,3,2830,0,0.9981,31,605500.0
4404,4.0,1.0,1200,7200,1.5,0,1,3,1200,0,1.0019,76,135333.333333
2343,3.0,1.0,1250,9126,1.0,0,1,3,1250,0,0.9987,10,330000.0
428,4.0,2.0,1520,6200,1.5,0,1,3,1520,0,1.0,10,640000.0
2329,5.0,3.75,4130,226076,2.0,0,1,3,3170,960,0.9987,35,900000.0
2800,5.0,3.25,3160,5000,2.0,0,3,3,2180,980,1.0,15,957000.0
4546,4.0,3.5,4460,16953,1.0,0,1,3,2550,1910,0.9987,26,1800000.0
1743,4.0,1.0,1660,4690,1.5,0,1,3,1260,400,1.0,10,560000.0
1630,3.0,2.5,2490,4343,2.0,0,1,3,2490,0,0.9981,17,705380.0
1554,3.0,3.5,2320,3174,2.0,0,1,3,2060,260,0.9981,23,530000.0
2551,3.0,1.5,1360,10726,1.0,0,1,4,1360,0,1.0,54,348500.0
3237,6.0,2.5,3560,6480,2.5,0,1,4,3560,0,1.0,75,1500000.0
3496,4.0,2.5,2370,10858,2.0,0,1,3,2370,0,0.9981,17,1034500.0
4074,3.0,2.25,2060,9552,1.0,0,1,4,1610,450,0.9994,45,885000.0
2606,4.0,2.0,2340,50233,1.0,0,1,4,1170,1170,0.9981,54,568000.0
1206,4.0,2.25,2530,9200,1.0,0,1,5,1570,960,0.9981,44,902000.0
305,3.0,1.75,1460,7700,1.0,0,1,3,1460,0,0.9974,6,424500.0
3842,7.0,3.0,2800,9569,1.0,0,3,3,1400,1400,1.0006,12,350000.0
1138,3.0,1.75,2470,9620,1.0,0,2,4,1570,900,1.0006,58,405000.0
87,4.0,1.75,1590,7920,2.0,0,1,4,1590,0,1.0,19,373000.0
4260,2.0,1.0,820,6400,1.0,0,1,4,820,0,1.0,76,361280.0
1555,4.0,2.25,2260,41984,1.0,0,1,4,2260,0,0.9981,53,925000.0
